Phase,Task No,Task,Description,Problem/Issue,Root Cause,Solution,Status,Start Date,End Date,Priority,Assignee,Remark
Phase 5: Level 2 Upgrade,5.1,Score Normalization,แปลง raw distance เป็น 0-100% scale,,,,Done,,,Medium,,0=normal 100=threshold
Phase 5: Level 2 Upgrade,5.2,Training Augmentation,Brightness ±10% jitter (2 augmented/image),,,,Done,,,High,,ทนแสงเปลี่ยนในไลน์ผลิต
Phase 5: Level 2 Upgrade,5.3,Per-class Anomaly Model,แยก memory bank ตาม YOLO class,,,,Done,,,High,,auto per-class threshold
Phase 5: Level 2 Upgrade,5.4,Validation UI,ปุ่ม Test Good / Test Bad + FP/FN rate,,,,Done,,,Medium,,ทดสอบก่อน deploy
Phase 5: Level 2 Upgrade,5.5,Model Save v3,รองรับ per-class banks + calibration stats,,,,Done,,,Low,,backward compatible v1/v2
Phase 6: Production Ready,6.1,Custom YOLO Training,เทรน YOLO เฉพาะชิ้นงานจริง,,,,Pending,,,High,,แทน generic yolov8x.pt
Phase 6: Production Ready,6.2,WideResNet50 Weights Offline,คัดลอก wide_resnet50_2-95faca4d.pth ไปเครื่อง production,,,,Pending,,,Critical,,เครื่องไม่มี internet
Phase 6: Production Ready,6.3,Re-train with New Engine,เทรน PatchCore ใหม่ด้วย WideResNet50 + augmentation,,,,Pending,,,High,,ต้องทำหลังติดตั้ง weights
Phase 6: Production Ready,6.4,Validate Accuracy,ทดสอบ accuracy ด้วยภาพ good/bad จริง,,,,Pending,,,High,,ใช้ Validation UI ใหม่
Phase 6: Production Ready,6.5,DeviceWise Integration,เชื่อมต่อระบบ PLC/IoT ผ่าน REST API,,,,Pending,,,Medium,,รองรับ trigger จากภายนอก
Phase 6: Production Ready,6.6,Backbone/Image Size Selector,เพิ่ม ComboBox เลือก backbone + image size ใน GUI,,,,Pending,,,Low,,Optional UI enhancement
